,classifier_id,data_id,attack_id,n,defense_id,id,def_name,classifier_name,train_time,attack_size,attack_name,attack_iter,attack_batch_size,attack_threshold,attack_time,ben_pred_time,ben_acc,ben_cov,ben_mean,ben_std,ben_resid,adv_pred_time,adv_acc,adv_cov,adv_mean,adv_std,adv_resid
0cee15433558d1e3453f596c7c1dccbc468d9fab0b7caabddd3a99d6834e916f,dc5d7090b02ce002b442b90d8e2d0f5354a054830352984909acdd6cfc0d053f,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,bc3ff436fe08e46c67e53d14bf20c08e020d76849fca9d2e99dfe0118d74665d,100000,4ad8ff2d08de601977dee491336a84fff60856ff194a823b89e2a00462636fa5,0cee15433558d1e3453f596c7c1dccbc468d9fab0b7caabddd3a99d6834e916f,Gaussian Noise-sigma:0.99,Default Classifier,1236.2715749170002,100,PGD-step_size:0.001-norm:1,20,1024,0.03,104.74053334299992,43.965291809999826,0.951,1.0,0.10000000149011612,0.29584401845932007,7.929916168158968e-10,0.038334542000029614,0.08,1.0,0.10000000149011612,0.2730396091938019,7.929916168158968e-10
878e5c3b89f50180d31376573b201be820638411bd43f5d20890d2910daa69a3,dc5d7090b02ce002b442b90d8e2d0f5354a054830352984909acdd6cfc0d053f,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,042eaab4f31e7b79d6b5591d51b2ad5186d3124cb2c0663cc289d0c70b0e1817,100000,4ad8ff2d08de601977dee491336a84fff60856ff194a823b89e2a00462636fa5,878e5c3b89f50180d31376573b201be820638411bd43f5d20890d2910daa69a3,Gaussian Noise-sigma:0.99,Default Classifier,1236.2715749170002,100,PGD-step_size:0.001-norm:2,20,1024,0.03,27.798534504999907,2.7421525749998636,0.951,1.0,0.10000000149011612,0.29584401845932007,7.929916168158968e-10,0.03240725199998451,0.08,1.0,0.10000000149011612,0.2730396091938019,7.929916168158968e-10
672ece8fef0b665a39d951fd0dde8ae8bfd80e5d13f2a4ea4d6871c0a03be418,dc5d7090b02ce002b442b90d8e2d0f5354a054830352984909acdd6cfc0d053f,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,0a5384f0ced60518a4338298672bc7414c2eb653d131345f6ed81f1b892b5b8a,100000,4ad8ff2d08de601977dee491336a84fff60856ff194a823b89e2a00462636fa5,672ece8fef0b665a39d951fd0dde8ae8bfd80e5d13f2a4ea4d6871c0a03be418,Gaussian Noise-sigma:0.99,Default Classifier,1236.2715749170002,100,PGD-step_size:0.001-norm:inf,20,1024,0.03,27.728512381999963,2.7019980070001566,0.951,1.0,0.10000000149011612,0.29584401845932007,7.929916168158968e-10,0.029630460000134917,0.08,1.0,0.10000000149011612,0.2730396091938019,7.929916168158968e-10
1dab048c46eda793eee4377e52bd0c586d3946d3bb13fe6592f6bb1562ecd2d8,dc5d7090b02ce002b442b90d8e2d0f5354a054830352984909acdd6cfc0d053f,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,4ec6484fcceddc1d6f48c05f140eae095a2f9d05db07eda74b9154021a57fea2,100000,4ad8ff2d08de601977dee491336a84fff60856ff194a823b89e2a00462636fa5,1dab048c46eda793eee4377e52bd0c586d3946d3bb13fe6592f6bb1562ecd2d8,Gaussian Noise-sigma:0.99,Default Classifier,1236.2715749170002,100,PGD-step_size:0.01-norm:1,20,1024,0.03,25.85042645600015,2.6956550489999245,0.951,1.0,0.10000000149011612,0.29584401845932007,7.929916168158968e-10,0.03069878999986031,0.08,1.0,0.10000000149011612,0.2730396091938019,7.929916168158968e-10
e47fb962261d35dccfb2c345597313aab10d2fd9390362221f47f18c1655112e,dc5d7090b02ce002b442b90d8e2d0f5354a054830352984909acdd6cfc0d053f,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,63f95ca25baffd8171aee0f6329fd3a08dc27ea2b23438b43580dd18ead31d1f,100000,4ad8ff2d08de601977dee491336a84fff60856ff194a823b89e2a00462636fa5,e47fb962261d35dccfb2c345597313aab10d2fd9390362221f47f18c1655112e,Gaussian Noise-sigma:0.99,Default Classifier,1236.2715749170002,100,PGD-step_size:0.01-norm:2,20,1024,0.03,27.547768077,2.761539051999989,0.951,1.0,0.10000000149011612,0.29584401845932007,7.929916168158968e-10,0.030181816999856892,0.08,1.0,0.10000000149011612,0.2730396091938019,7.929916168158968e-10
eb7cf8420f767a4714fb14ccc8b3dfe8abba847a4352104d43b2519f670cd030,dc5d7090b02ce002b442b90d8e2d0f5354a054830352984909acdd6cfc0d053f,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,42b5a5bd7767d444ec17b0a2d1e693ef10cb2930fe3f79a2d86b013de259f89e,100000,4ad8ff2d08de601977dee491336a84fff60856ff194a823b89e2a00462636fa5,eb7cf8420f767a4714fb14ccc8b3dfe8abba847a4352104d43b2519f670cd030,Gaussian Noise-sigma:0.99,Default Classifier,1236.2715749170002,100,PGD-step_size:0.01-norm:inf,20,1024,0.03,27.64822213100001,2.764471149000201,0.951,1.0,0.10000000149011612,0.29584401845932007,7.929916168158968e-10,0.031021161000126085,0.08,1.0,0.10000000149011612,0.2730396091938019,7.929916168158968e-10
82b8bb17d53cb06b940338d2c5b445491ac3af42bbe57e5cf77bd016eee69d84,dc5d7090b02ce002b442b90d8e2d0f5354a054830352984909acdd6cfc0d053f,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,4584134428d32ab796226502a194b39426d256966e4b23bcdc3b91cbd9c76f16,100000,4ad8ff2d08de601977dee491336a84fff60856ff194a823b89e2a00462636fa5,82b8bb17d53cb06b940338d2c5b445491ac3af42bbe57e5cf77bd016eee69d84,Gaussian Noise-sigma:0.99,Default Classifier,1236.2715749170002,100,PGD-step_size:0.1-norm:1,20,1024,0.03,27.11718057500002,2.6044710460000715,0.951,1.0,0.10000000149011612,0.29584401845932007,7.929916168158968e-10,0.02960147099997812,0.08,1.0,0.10000000149011612,0.2730396091938019,7.929916168158968e-10
ea2530acd966f13615beb6195d5104942dc63867c4b279c28f50d9a72bb40a57,dc5d7090b02ce002b442b90d8e2d0f5354a054830352984909acdd6cfc0d053f,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,2dc579016183356d283f03c2304d4b8fcfe09ba297904464e476e0174e6c6a4a,100000,4ad8ff2d08de601977dee491336a84fff60856ff194a823b89e2a00462636fa5,ea2530acd966f13615beb6195d5104942dc63867c4b279c28f50d9a72bb40a57,Gaussian Noise-sigma:0.99,Default Classifier,1236.2715749170002,100,PGD-step_size:0.1-norm:2,20,1024,0.03,27.463682971000026,2.746412341999985,0.951,1.0,0.10000000149011612,0.29584401845932007,7.929916168158968e-10,0.030272666999962894,0.08,1.0,0.10000000149011612,0.2730396091938019,7.929916168158968e-10
2c3e0cdb36a8db3f3016c7e4f97461e9fcd19a5a59a81324186f654688516086,dc5d7090b02ce002b442b90d8e2d0f5354a054830352984909acdd6cfc0d053f,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,90b76eead81655e7431ff36f87c678fb4492721dff4399a28eb1d6e8f150ccc8,100000,4ad8ff2d08de601977dee491336a84fff60856ff194a823b89e2a00462636fa5,2c3e0cdb36a8db3f3016c7e4f97461e9fcd19a5a59a81324186f654688516086,Gaussian Noise-sigma:0.99,Default Classifier,1236.2715749170002,100,PGD-step_size:0.1-norm:inf,20,1024,0.03,27.621079415000168,2.77084026600005,0.951,1.0,0.10000000149011612,0.29584401845932007,7.929916168158968e-10,0.030933696000147393,0.08,1.0,0.10000000149011612,0.2730396091938019,7.929916168158968e-10
b62c0e0993f3b818f0429f95fd3e1405d745f45aaff390acddb427f861da4376,dc5d7090b02ce002b442b90d8e2d0f5354a054830352984909acdd6cfc0d053f,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,96b8ad469df275d4f92d75f9824befd2fad90b7276ef459b503f8486be1d54d7,100000,4ad8ff2d08de601977dee491336a84fff60856ff194a823b89e2a00462636fa5,b62c0e0993f3b818f0429f95fd3e1405d745f45aaff390acddb427f861da4376,Gaussian Noise-sigma:0.99,Default Classifier,1236.2715749170002,100,FGM-step_size:0.001-norm:1,20,1024,0.03,3.6030183220000254,2.750417298000002,0.951,1.0,0.10000000149011612,0.29584401845932007,7.929916168158968e-10,0.03076548800004275,0.91,1.0,0.10000000149011612,0.2932141125202179,7.929916168158968e-10
