,classifier_id,data_id,attack_id,n,defense_id,id,def_name,classifier_name,train_time,attack_size,attack_name,attack_iter,attack_batch_size,attack_threshold,attack_time,ben_pred,ben_pred_time,ben_acc,ben_cov
2eb8ecc19583439a97221c26f43cbb2a50df43561705cd1140433e41a81697cf,80b670e51067bc14ca528c9e469a230f3e19ea10555cc8a34903593a0a426e81,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,388f367f82c4e132fbe1a06745d1214ba140027d3d50246dee06b8e4d2214055,100000,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,2eb8ecc19583439a97221c26f43cbb2a50df43561705cd1140433e41a81697cf,Label Smoothing-sigma:0.99,Default Classifier,982.9129907130009,100,PGD-step_size:0.001-norm:1,10,1024,0.03,103.810429645,"[[1.9373819e-03 6.2812131e-04 8.4643617e-02 ... 1.2202879e-03
  1.9529951e-03 7.2766343e-05]
 [9.5675280e-03 1.3834005e-03 2.5397378e-03 ... 8.1158956e-05
  9.2914867e-01 5.6771427e-02]
 [4.3036296e-05 6.1353515e-03 9.4515386e-08 ... 1.0701374e-08
  9.9356645e-01 2.5487307e-04]
 ...
 [3.8305332e-09 1.3202252e-07 8.6628449e-07 ... 4.9259265e-06
  1.2117673e-08 1.3169952e-08]
 [3.9999028e-12 1.0000000e+00 1.0667445e-11 ... 1.3041135e-12
  2.9581437e-12 3.5408933e-12]
 [1.3874023e-10 6.7275846e-10 5.9964059e-08 ... 9.9999988e-01
  5.5423336e-11 3.7729708e-09]]",94.565733402,0.9384,1.0
1d84fe67efc280f2e33d675d00474ef255d337e89f62c77ad80bb5bbda9f7312,80b670e51067bc14ca528c9e469a230f3e19ea10555cc8a34903593a0a426e81,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,5b634f834317ac45c577ca96421f00f3e445d6fd4d7f2033e464ccc3700abc3a,100000,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,1d84fe67efc280f2e33d675d00474ef255d337e89f62c77ad80bb5bbda9f7312,Label Smoothing-sigma:0.99,Default Classifier,982.9129907130009,100,PGD-step_size:0.001-norm:2,10,1024,0.03,14.123475597999999,"[[1.9373819e-03 6.2812131e-04 8.4643617e-02 ... 1.2202879e-03
  1.9529951e-03 7.2766343e-05]
 [9.5675280e-03 1.3834005e-03 2.5397378e-03 ... 8.1158956e-05
  9.2914867e-01 5.6771427e-02]
 [4.3036296e-05 6.1353515e-03 9.4515386e-08 ... 1.0701374e-08
  9.9356645e-01 2.5487307e-04]
 ...
 [3.8305332e-09 1.3202252e-07 8.6628449e-07 ... 4.9259265e-06
  1.2117673e-08 1.3169952e-08]
 [3.9999028e-12 1.0000000e+00 1.0667445e-11 ... 1.3041135e-12
  2.9581437e-12 3.5408933e-12]
 [1.3874023e-10 6.7275846e-10 5.9964059e-08 ... 9.9999988e-01
  5.5423336e-11 3.7729708e-09]]",2.715680299000013,0.9384,1.0
70439314c4b74f7405b2cf520d7083e400e65f091aafc22bf06d00b9040233b7,80b670e51067bc14ca528c9e469a230f3e19ea10555cc8a34903593a0a426e81,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,30b946f2e5c88bc232d90981ddb0f68bd971ddeae98e10d417a0d11498591de6,100000,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,70439314c4b74f7405b2cf520d7083e400e65f091aafc22bf06d00b9040233b7,Label Smoothing-sigma:0.99,Default Classifier,982.9129907130009,100,PGD-step_size:0.001-norm:inf,10,1024,0.03,13.885355502999971,"[[1.9373819e-03 6.2812131e-04 8.4643617e-02 ... 1.2202879e-03
  1.9529951e-03 7.2766343e-05]
 [9.5675280e-03 1.3834005e-03 2.5397378e-03 ... 8.1158956e-05
  9.2914867e-01 5.6771427e-02]
 [4.3036296e-05 6.1353515e-03 9.4515386e-08 ... 1.0701374e-08
  9.9356645e-01 2.5487307e-04]
 ...
 [3.8305332e-09 1.3202252e-07 8.6628449e-07 ... 4.9259265e-06
  1.2117673e-08 1.3169952e-08]
 [3.9999028e-12 1.0000000e+00 1.0667445e-11 ... 1.3041135e-12
  2.9581437e-12 3.5408933e-12]
 [1.3874023e-10 6.7275846e-10 5.9964059e-08 ... 9.9999988e-01
  5.5423336e-11 3.7729708e-09]]",2.7184044669999707,0.9384,1.0
0d22a30b064fc128cfb57f8b91077ef5fb570985199d678ae38113aaf8ace7b6,80b670e51067bc14ca528c9e469a230f3e19ea10555cc8a34903593a0a426e81,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,82005816e050655257bb73186bfd8d7109be776217ad02093849a8c56e862d33,100000,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,0d22a30b064fc128cfb57f8b91077ef5fb570985199d678ae38113aaf8ace7b6,Label Smoothing-sigma:0.99,Default Classifier,982.9129907130009,100,PGD-step_size:0.01-norm:1,10,1024,0.03,13.516895603000023,"[[1.9373819e-03 6.2812131e-04 8.4643617e-02 ... 1.2202879e-03
  1.9529951e-03 7.2766343e-05]
 [9.5675280e-03 1.3834005e-03 2.5397378e-03 ... 8.1158956e-05
  9.2914867e-01 5.6771427e-02]
 [4.3036296e-05 6.1353515e-03 9.4515386e-08 ... 1.0701374e-08
  9.9356645e-01 2.5487307e-04]
 ...
 [3.8305332e-09 1.3202252e-07 8.6628449e-07 ... 4.9259265e-06
  1.2117673e-08 1.3169952e-08]
 [3.9999028e-12 1.0000000e+00 1.0667445e-11 ... 1.3041135e-12
  2.9581437e-12 3.5408933e-12]
 [1.3874023e-10 6.7275846e-10 5.9964059e-08 ... 9.9999988e-01
  5.5423336e-11 3.7729708e-09]]",2.7023644000000218,0.9384,1.0
16ade66bc07e55dc8d47dacc507d6c429a18557b4909d03fb924c6ed03cffcfe,80b670e51067bc14ca528c9e469a230f3e19ea10555cc8a34903593a0a426e81,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,9f56ba5800514beb47a361217b92cc9ec4b4d4922fd4b060d02b2ed62a7fddca,100000,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,16ade66bc07e55dc8d47dacc507d6c429a18557b4909d03fb924c6ed03cffcfe,Label Smoothing-sigma:0.99,Default Classifier,982.9129907130009,100,PGD-step_size:0.01-norm:2,10,1024,0.03,13.435065822000013,"[[1.9373819e-03 6.2812131e-04 8.4643617e-02 ... 1.2202879e-03
  1.9529951e-03 7.2766343e-05]
 [9.5675280e-03 1.3834005e-03 2.5397378e-03 ... 8.1158956e-05
  9.2914867e-01 5.6771427e-02]
 [4.3036296e-05 6.1353515e-03 9.4515386e-08 ... 1.0701374e-08
  9.9356645e-01 2.5487307e-04]
 ...
 [3.8305332e-09 1.3202252e-07 8.6628449e-07 ... 4.9259265e-06
  1.2117673e-08 1.3169952e-08]
 [3.9999028e-12 1.0000000e+00 1.0667445e-11 ... 1.3041135e-12
  2.9581437e-12 3.5408933e-12]
 [1.3874023e-10 6.7275846e-10 5.9964059e-08 ... 9.9999988e-01
  5.5423336e-11 3.7729708e-09]]",2.711802877000025,0.9384,1.0
ffdca9f4a81c6f5faeae8d1d7a32f9e21cc2ad0390fc66e08efba30fb0192720,80b670e51067bc14ca528c9e469a230f3e19ea10555cc8a34903593a0a426e81,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,8681b0301616c69c50eb055915febc9a90800fb5633b5c782f7e5f474097109c,100000,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,ffdca9f4a81c6f5faeae8d1d7a32f9e21cc2ad0390fc66e08efba30fb0192720,Label Smoothing-sigma:0.99,Default Classifier,982.9129907130009,100,PGD-step_size:0.01-norm:inf,10,1024,0.03,13.591453953000041,"[[1.9373819e-03 6.2812131e-04 8.4643617e-02 ... 1.2202879e-03
  1.9529951e-03 7.2766343e-05]
 [9.5675280e-03 1.3834005e-03 2.5397378e-03 ... 8.1158956e-05
  9.2914867e-01 5.6771427e-02]
 [4.3036296e-05 6.1353515e-03 9.4515386e-08 ... 1.0701374e-08
  9.9356645e-01 2.5487307e-04]
 ...
 [3.8305332e-09 1.3202252e-07 8.6628449e-07 ... 4.9259265e-06
  1.2117673e-08 1.3169952e-08]
 [3.9999028e-12 1.0000000e+00 1.0667445e-11 ... 1.3041135e-12
  2.9581437e-12 3.5408933e-12]
 [1.3874023e-10 6.7275846e-10 5.9964059e-08 ... 9.9999988e-01
  5.5423336e-11 3.7729708e-09]]",2.710016415000041,0.9384,1.0
26df7bcf80efa505df8b03e3ffea851185f7b8917b8e7c1b620ab4ba30577fa8,80b670e51067bc14ca528c9e469a230f3e19ea10555cc8a34903593a0a426e81,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,cde16fc910d81a369490f79cb661d120ef5d9360269dff60b32abef7a49d67c4,100000,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,26df7bcf80efa505df8b03e3ffea851185f7b8917b8e7c1b620ab4ba30577fa8,Label Smoothing-sigma:0.99,Default Classifier,982.9129907130009,100,PGD-step_size:0.1-norm:1,10,1024,0.03,13.899483336999992,"[[1.9373819e-03 6.2812131e-04 8.4643617e-02 ... 1.2202879e-03
  1.9529951e-03 7.2766343e-05]
 [9.5675280e-03 1.3834005e-03 2.5397378e-03 ... 8.1158956e-05
  9.2914867e-01 5.6771427e-02]
 [4.3036296e-05 6.1353515e-03 9.4515386e-08 ... 1.0701374e-08
  9.9356645e-01 2.5487307e-04]
 ...
 [3.8305332e-09 1.3202252e-07 8.6628449e-07 ... 4.9259265e-06
  1.2117673e-08 1.3169952e-08]
 [3.9999028e-12 1.0000000e+00 1.0667445e-11 ... 1.3041135e-12
  2.9581437e-12 3.5408933e-12]
 [1.3874023e-10 6.7275846e-10 5.9964059e-08 ... 9.9999988e-01
  5.5423336e-11 3.7729708e-09]]",2.7055880260000436,0.9384,1.0
c7a88f47694ba6c2d3ad53d784e1ef51bed4f945d481f4cc17e32192822dfd1b,80b670e51067bc14ca528c9e469a230f3e19ea10555cc8a34903593a0a426e81,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,6a417d6217b508684cdacd6a33515df594cadeddf223488615ff4e9369be071c,100000,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,c7a88f47694ba6c2d3ad53d784e1ef51bed4f945d481f4cc17e32192822dfd1b,Label Smoothing-sigma:0.99,Default Classifier,982.9129907130009,100,PGD-step_size:0.1-norm:2,10,1024,0.03,13.792277272999968,"[[1.9373819e-03 6.2812131e-04 8.4643617e-02 ... 1.2202879e-03
  1.9529951e-03 7.2766343e-05]
 [9.5675280e-03 1.3834005e-03 2.5397378e-03 ... 8.1158956e-05
  9.2914867e-01 5.6771427e-02]
 [4.3036296e-05 6.1353515e-03 9.4515386e-08 ... 1.0701374e-08
  9.9356645e-01 2.5487307e-04]
 ...
 [3.8305332e-09 1.3202252e-07 8.6628449e-07 ... 4.9259265e-06
  1.2117673e-08 1.3169952e-08]
 [3.9999028e-12 1.0000000e+00 1.0667445e-11 ... 1.3041135e-12
  2.9581437e-12 3.5408933e-12]
 [1.3874023e-10 6.7275846e-10 5.9964059e-08 ... 9.9999988e-01
  5.5423336e-11 3.7729708e-09]]",2.7254154390000167,0.9384,1.0
822f29b31c58a0ce0aaa595d5f3faa7bfce4f9445f69a195d9f69cfcd594d80c,80b670e51067bc14ca528c9e469a230f3e19ea10555cc8a34903593a0a426e81,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,f01f762aaf16007772f57fcd2ec16191c80577d9d0ea6dc1ed4173e19c8c97db,100000,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,822f29b31c58a0ce0aaa595d5f3faa7bfce4f9445f69a195d9f69cfcd594d80c,Label Smoothing-sigma:0.99,Default Classifier,982.9129907130009,100,PGD-step_size:0.1-norm:inf,10,1024,0.03,13.853844362000018,"[[1.9373819e-03 6.2812131e-04 8.4643617e-02 ... 1.2202879e-03
  1.9529951e-03 7.2766343e-05]
 [9.5675280e-03 1.3834005e-03 2.5397378e-03 ... 8.1158956e-05
  9.2914867e-01 5.6771427e-02]
 [4.3036296e-05 6.1353515e-03 9.4515386e-08 ... 1.0701374e-08
  9.9356645e-01 2.5487307e-04]
 ...
 [3.8305332e-09 1.3202252e-07 8.6628449e-07 ... 4.9259265e-06
  1.2117673e-08 1.3169952e-08]
 [3.9999028e-12 1.0000000e+00 1.0667445e-11 ... 1.3041135e-12
  2.9581437e-12 3.5408933e-12]
 [1.3874023e-10 6.7275846e-10 5.9964059e-08 ... 9.9999988e-01
  5.5423336e-11 3.7729708e-09]]",2.700263454000037,0.9384,1.0
d3ab72e7f4ec78dad5e55ded6a55530c5dabd6d6ea3def2b6eb8038325076740,80b670e51067bc14ca528c9e469a230f3e19ea10555cc8a34903593a0a426e81,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,96b8ad469df275d4f92d75f9824befd2fad90b7276ef459b503f8486be1d54d7,100000,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,d3ab72e7f4ec78dad5e55ded6a55530c5dabd6d6ea3def2b6eb8038325076740,Label Smoothing-sigma:0.99,Default Classifier,982.9129907130009,100,FGM-step_size:0.001-norm:1,10,1024,0.03,3.3340583339999625,"[[1.9373819e-03 6.2812131e-04 8.4643617e-02 ... 1.2202879e-03
  1.9529951e-03 7.2766343e-05]
 [9.5675280e-03 1.3834005e-03 2.5397378e-03 ... 8.1158956e-05
  9.2914867e-01 5.6771427e-02]
 [4.3036296e-05 6.1353515e-03 9.4515386e-08 ... 1.0701374e-08
  9.9356645e-01 2.5487307e-04]
 ...
 [3.8305332e-09 1.3202252e-07 8.6628449e-07 ... 4.9259265e-06
  1.2117673e-08 1.3169952e-08]
 [3.9999028e-12 1.0000000e+00 1.0667445e-11 ... 1.3041135e-12
  2.9581437e-12 3.5408933e-12]
 [1.3874023e-10 6.7275846e-10 5.9964059e-08 ... 9.9999988e-01
  5.5423336e-11 3.7729708e-09]]",2.698019885000008,0.9384,1.0
