,classifier_id,data_id,attack_id,n,defense_id,id,pre_def_name,post_def_name,classifier_name,train_time,attack_size,attack_name,attack_time,ben_acc,ben_pred_time,adv_pred_time,adv_acc
deafc4bb0a335ea4d23817a50d3c396a68975de1a374cdf4816a5bf69c28d2b5,c2dacf8fd928edc2f087d546c674a01fc0e31b2b40d562e2b15322f05776374040510175845988f13f6162ed8526f0b09f73384467fa855e1e79b44a56562a58,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,3256ce3a51cee7fef117fbda78140448b91112370a4ecd7893efcf8d73c52c42,1000,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,deafc4bb0a335ea4d23817a50d3c396a68975de1a374cdf4816a5bf69c28d2b5,No Preprocessing,No Postprocessing,Default Classifier,4.45139741897583,1,FGM,0.08499860763549805,0.987,0.07999944686889648,0.0019986629486083984,1.0
90e4e6ade756fcd39ffedb11b16a39c77ff297c4098816cda3109140f9b39b55,c2dacf8fd928edc2f087d546c674a01fc0e31b2b40d562e2b15322f05776374040510175845988f13f6162ed8526f0b09f73384467fa855e1e79b44a56562a58,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,6427fc01d1301166b166cefbbc8da35565e3228325115d1085c83b1304473423,1000,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,90e4e6ade756fcd39ffedb11b16a39c77ff297c4098816cda3109140f9b39b55,No Preprocessing,No Postprocessing,Default Classifier,4.45139741897583,1,Lipschitz,0.22423529624938965,0.987,0.15600180625915527,0.0009999275207519531,1.0
25110210e0f26c7648f3e4767ea371a477460e6a191c68136db4d02a36dbafb3,c2dacf8fd928edc2f087d546c674a01fc0e31b2b40d562e2b15322f05776374040510175845988f13f6162ed8526f0b09f73384467fa855e1e79b44a56562a58,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,4db8a554c086f995aa0ebdb425542c463360fad53007f2de451cbe1aef8f1377,1000,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,25110210e0f26c7648f3e4767ea371a477460e6a191c68136db4d02a36dbafb3,No Preprocessing,No Postprocessing,Default Classifier,4.640354156494141,1,PGD,0.30454587936401367,0.978,0.06900238990783691,0.002019643783569336,1.0
90e4e6ade756fcd39ffedb11b16a39c77ff297c4098816cda3109140f9b39b55,c2dacf8fd928edc2f087d546c674a01fc0e31b2b40d562e2b15322f05776374040510175845988f13f6162ed8526f0b09f73384467fa855e1e79b44a56562a58,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,6427fc01d1301166b166cefbbc8da35565e3228325115d1085c83b1304473423,1000,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,90e4e6ade756fcd39ffedb11b16a39c77ff297c4098816cda3109140f9b39b55,No Preprocessing,No Postprocessing,Default Classifier,4.45139741897583,1,Lipschitz,0.22423529624938965,0.987,0.15600180625915527,0.0009999275207519531,1.0
deafc4bb0a335ea4d23817a50d3c396a68975de1a374cdf4816a5bf69c28d2b5,c2dacf8fd928edc2f087d546c674a01fc0e31b2b40d562e2b15322f05776374040510175845988f13f6162ed8526f0b09f73384467fa855e1e79b44a56562a58,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,3256ce3a51cee7fef117fbda78140448b91112370a4ecd7893efcf8d73c52c42,1000,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,deafc4bb0a335ea4d23817a50d3c396a68975de1a374cdf4816a5bf69c28d2b5,No Preprocessing,No Postprocessing,Default Classifier,4.45139741897583,1,FGM,0.08499860763549805,0.987,0.07999944686889648,0.0019986629486083984,1.0
25110210e0f26c7648f3e4767ea371a477460e6a191c68136db4d02a36dbafb3,c2dacf8fd928edc2f087d546c674a01fc0e31b2b40d562e2b15322f05776374040510175845988f13f6162ed8526f0b09f73384467fa855e1e79b44a56562a58,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,4db8a554c086f995aa0ebdb425542c463360fad53007f2de451cbe1aef8f1377,1000,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,25110210e0f26c7648f3e4767ea371a477460e6a191c68136db4d02a36dbafb3,No Preprocessing,No Postprocessing,Default Classifier,4.640354156494141,1,PGD,0.30454587936401367,0.978,0.06900238990783691,0.002019643783569336,1.0
90e4e6ade756fcd39ffedb11b16a39c77ff297c4098816cda3109140f9b39b55,c2dacf8fd928edc2f087d546c674a01fc0e31b2b40d562e2b15322f05776374040510175845988f13f6162ed8526f0b09f73384467fa855e1e79b44a56562a58,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,6427fc01d1301166b166cefbbc8da35565e3228325115d1085c83b1304473423,1000,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,90e4e6ade756fcd39ffedb11b16a39c77ff297c4098816cda3109140f9b39b55,No Preprocessing,No Postprocessing,Default Classifier,4.45139741897583,1,Lipschitz,0.22423529624938965,0.987,0.15600180625915527,0.0009999275207519531,1.0
deafc4bb0a335ea4d23817a50d3c396a68975de1a374cdf4816a5bf69c28d2b5,c2dacf8fd928edc2f087d546c674a01fc0e31b2b40d562e2b15322f05776374040510175845988f13f6162ed8526f0b09f73384467fa855e1e79b44a56562a58,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,3256ce3a51cee7fef117fbda78140448b91112370a4ecd7893efcf8d73c52c42,1000,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,deafc4bb0a335ea4d23817a50d3c396a68975de1a374cdf4816a5bf69c28d2b5,No Preprocessing,No Postprocessing,Default Classifier,4.45139741897583,1,FGM,0.08499860763549805,0.987,0.07999944686889648,0.0019986629486083984,1.0
25110210e0f26c7648f3e4767ea371a477460e6a191c68136db4d02a36dbafb3,c2dacf8fd928edc2f087d546c674a01fc0e31b2b40d562e2b15322f05776374040510175845988f13f6162ed8526f0b09f73384467fa855e1e79b44a56562a58,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,4db8a554c086f995aa0ebdb425542c463360fad53007f2de451cbe1aef8f1377,1000,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,25110210e0f26c7648f3e4767ea371a477460e6a191c68136db4d02a36dbafb3,No Preprocessing,No Postprocessing,Default Classifier,4.640354156494141,1,PGD,0.30454587936401367,0.978,0.06900238990783691,0.002019643783569336,1.0
90e4e6ade756fcd39ffedb11b16a39c77ff297c4098816cda3109140f9b39b55,c2dacf8fd928edc2f087d546c674a01fc0e31b2b40d562e2b15322f05776374040510175845988f13f6162ed8526f0b09f73384467fa855e1e79b44a56562a58,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,6427fc01d1301166b166cefbbc8da35565e3228325115d1085c83b1304473423,1000,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,90e4e6ade756fcd39ffedb11b16a39c77ff297c4098816cda3109140f9b39b55,No Preprocessing,No Postprocessing,Default Classifier,4.45139741897583,1,Lipschitz,0.22423529624938965,0.987,0.15600180625915527,0.0009999275207519531,1.0
