,classifier_id,data_id,attack_id,n,defense_id,id,def_name,classifier_name,train_time,defense_strength,attack_size,attack_name,attack_iter,attack_batch_size,attack_threshold,attack_time,ben_pred_time,ben_acc,ben_cov,ben_mean,ben_std,ben_resid,adv_pred_time,adv_acc,adv_cov,adv_mean,adv_std,adv_resid
4c53621565166d5c3e7a274957c508767b81bce4cb10c2dbc101c79e61bf9aff,b3b7e6b388358a6105fe34a2f4fa07877bda83f4ab03b46ce19b7f62b712fe15d55d01d0341ed0ba2cd99b322e8c5b609254f47d10c7cd12b99b4922effeba44,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,ba66d6357b5f69e110dd369d4e3c12f8268ff6495c1f8576342bcc289465d048,60000,,4c53621565166d5c3e7a274957c508767b81bce4cb10c2dbc101c79e61bf9aff,Control,Default Classifier,882.6060100249999,8.0,100,PGD,10,1024,0.03,48.47965625,41.14115824700001,0.9965,1.0,0.10000000149011612,0.2997525930404663,1.8408773116984634e-10,0.020305620000002023,0.98,1.0,0.10000000149011612,0.29873570799827576,1.8408773116984634e-10
dbe9a59978e9764d80c2f071b54e0a954f7df01f5a1766451db54d1cb660596a,b3b7e6b388358a6105fe34a2f4fa07877bda83f4ab03b46ce19b7f62b712fe15d55d01d0341ed0ba2cd99b322e8c5b609254f47d10c7cd12b99b4922effeba44,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,d23348e919d89f865c3ead00dc1d97662777f6664ca557d4cffecd76636e34ce,60000,,dbe9a59978e9764d80c2f071b54e0a954f7df01f5a1766451db54d1cb660596a,Control,Default Classifier,882.6060100249999,8.0,100,FGM,10,1024,0.03,2.2103198620000057,1.246012755999999,0.9965,1.0,0.10000000149011612,0.2997525930404663,1.8408773116984634e-10,0.014852130999997826,0.98,1.0,0.10000000149011612,0.29874053597450256,1.8408773116984634e-10
398ed44ecaaf7137d902877c669b956003052b4081d66087cdcea7555a7c7be7,b3b7e6b388358a6105fe34a2f4fa07877bda83f4ab03b46ce19b7f62b712fe15d55d01d0341ed0ba2cd99b322e8c5b609254f47d10c7cd12b99b4922effeba44,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,a980e3a638108d57fa0a79d19349b845858659e4d960f4b8effab4ea648f5f2a,60000,,398ed44ecaaf7137d902877c669b956003052b4081d66087cdcea7555a7c7be7,Control,Default Classifier,882.6060100249999,8.0,100,Carlini,10,1024,0.03,1433.910091562,1.2448817169999984,0.9965,1.0,0.10000000149011612,0.2997525930404663,1.8408773116984634e-10,0.015116622000050484,0.99,1.0,0.10000000149011612,0.2999667823314667,1.8408773116984634e-10
dfaf4f4a7f8c308227395a678862e8bf17b8be69bb411e81d2a17f2f5425c6b9,b3b7e6b388358a6105fe34a2f4fa07877bda83f4ab03b46ce19b7f62b712fe15d55d01d0341ed0ba2cd99b322e8c5b609254f47d10c7cd12b99b4922effeba44,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,6d0e4950356a6c88a51a7e7ae6942c8e255051c9337709140b2a0bf2a1dd12ee,60000,,dfaf4f4a7f8c308227395a678862e8bf17b8be69bb411e81d2a17f2f5425c6b9,Control,Default Classifier,882.6060100249999,8.0,100,PixelAttack,10,1024,0.03,11.550572294000176,1.2297229980001703,0.9965,1.0,0.10000000149011612,0.2997525930404663,1.8408773116984634e-10,0.014899666000019351,1.0,1.0,0.10000000149011612,0.29909223318099976,1.8408773116984634e-10
0dd3f0b046022ef1e9f2a1d0863bfd4d5ddc610b940f642868de90aa817960a2,b3b7e6b388358a6105fe34a2f4fa07877bda83f4ab03b46ce19b7f62b712fe15d55d01d0341ed0ba2cd99b322e8c5b609254f47d10c7cd12b99b4922effeba44,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,cdc6a469039efd13dc970ac46c748a56dba5e24094027e456cd1653604b3c38f,60000,,0dd3f0b046022ef1e9f2a1d0863bfd4d5ddc610b940f642868de90aa817960a2,Control,Default Classifier,882.6060100249999,8.0,100,DeepFool,10,1024,0.03,570.4519553989999,1.2659555780001028,0.9965,1.0,0.10000000149011612,0.2997525930404663,1.8408773116984634e-10,0.014935497999886138,0.39,1.0,0.10000000149011612,0.2910296320915222,1.8408773116984634e-10
985b7c999e4a33de7aa80475706586672eb1868254205641728849df455c0950,b3b7e6b388358a6105fe34a2f4fa07877bda83f4ab03b46ce19b7f62b712fe15d55d01d0341ed0ba2cd99b322e8c5b609254f47d10c7cd12b99b4922effeba44,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,c8b54b6f40524cd817fdb82255926fd68da54b961c5378cde675e2311a2b2a4b,60000,,985b7c999e4a33de7aa80475706586672eb1868254205641728849df455c0950,Control,Default Classifier,882.6060100249999,8.0,100,HopSkipJump,10,1024,0.03,403.03089294300025,1.2294349829999192,0.9965,1.0,0.10000000149011612,0.2997525930404663,1.8408773116984634e-10,0.015036897000300087,0.02,1.0,0.10000000149011612,0.297996461391449,1.8408773116984634e-10
a6b972371a116bc361dbbc99c3c2738207384f9b6998b06bb6e9aa01da302a09,b3b7e6b388358a6105fe34a2f4fa07877bda83f4ab03b46ce19b7f62b712fe15d55d01d0341ed0ba2cd99b322e8c5b609254f47d10c7cd12b99b4922effeba44,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,e3cc2d5461ecca7cd52f2de72e000dc59ffba2140ef7dcc1fe786b084216fb06,60000,,a6b972371a116bc361dbbc99c3c2738207384f9b6998b06bb6e9aa01da302a09,Control,Default Classifier,882.6060100249999,8.0,100,AdversarialPatch,10,1024,0.03,99.92154328300012,1.2713729609999973,0.9965,1.0,0.10000000149011612,0.2997525930404663,1.8408773116984634e-10,27.996536874999947,0.0,1.0,0.10000000894069672,0.299306720495224,1.8408773116984634e-10
2e18692080b6913f7aa350fd7363b30f1cd0d0c309aa7da5e9e6157196e5b410,b3b7e6b388358a6105fe34a2f4fa07877bda83f4ab03b46ce19b7f62b712fe15d55d01d0341ed0ba2cd99b322e8c5b609254f47d10c7cd12b99b4922effeba44,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,9e6d12933037b2c398e084883c65e708b8f067077bb0a583c2f752c2a2842f4b,60000,,2e18692080b6913f7aa350fd7363b30f1cd0d0c309aa7da5e9e6157196e5b410,Control,Default Classifier,882.6060100249999,8.0,100,Threshold Attack,10,1024,0.03,62.29920130599976,1.2405118279998533,0.9965,1.0,0.10000000149011612,0.2997525930404663,1.8408773116984634e-10,0.014924352999969415,1.0,1.0,0.10000000149011612,0.29999691247940063,1.8408773116984634e-10
a6affc8fd358fc27b1e3f1b9d51efaa1bf5df1ebc038bd397a8e136e4a102774,8d46d2c5d455b745522414ea1a3d76e31933357cb5dc6fd303687cc7d09fc243d55d01d0341ed0ba2cd99b322e8c5b609254f47d10c7cd12b99b4922effeba44,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,ba66d6357b5f69e110dd369d4e3c12f8268ff6495c1f8576342bcc289465d048,60000,76b45d634992d37e49e5632c4b465099d4aea6674e184cabbc816600a8e1c604,a6affc8fd358fc27b1e3f1b9d51efaa1bf5df1ebc038bd397a8e136e4a102774,Feature Squeezing,Default Classifier,885.69159029,8.0,100,PGD,10,1024,0.03,6.165923606999968,7.32849282799998,0.9944,1.0,0.10000000149011612,0.29964277148246765,1.9593013322882769e-10,0.015812681000170414,1.0,1.0,0.10000000149011612,0.2999970614910126,1.9593013322882769e-10
5dd1cf9827625c56b92611cfb55cffdf88d4d80ef6363e6c982032c479f6a200,8d46d2c5d455b745522414ea1a3d76e31933357cb5dc6fd303687cc7d09fc243d55d01d0341ed0ba2cd99b322e8c5b609254f47d10c7cd12b99b4922effeba44,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,d23348e919d89f865c3ead00dc1d97662777f6664ca557d4cffecd76636e34ce,60000,76b45d634992d37e49e5632c4b465099d4aea6674e184cabbc816600a8e1c604,5dd1cf9827625c56b92611cfb55cffdf88d4d80ef6363e6c982032c479f6a200,Feature Squeezing,Default Classifier,885.69159029,8.0,100,FGM,10,1024,0.03,2.9609231099998397,1.3085829619999458,0.9944,1.0,0.10000000149011612,0.29964277148246765,1.9593013322882769e-10,0.015585588000249118,1.0,1.0,0.10000000149011612,0.29998525977134705,1.9593013322882769e-10
