,classifier_id,data_id,attack_id,n,defense_id,id,def_name,classifier_name,train_time,attack_size,attack_name,attack_iter,attack_batch_size,attack_threshold,attack_time,ben_pred_time,ben_acc,adv_pred_time,adv_acc
e2e6b1598e93647171b53939dc96fb76dde3c6b589f7789b8a0bdeed11e2e6a2,2d8f61022071eff2692059111908d5e87828dc8587d746392fe49730808af75939e5b4830d4d9c14db7368a95b65d5463ea3d09520373723430c03a5a453b5df,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,ba66d6357b5f69e110dd369d4e3c12f8268ff6495c1f8576342bcc289465d048,10000,,e2e6b1598e93647171b53939dc96fb76dde3c6b589f7789b8a0bdeed11e2e6a2,Control,Default Classifier,205.75264171999999,100,PGD,10,1024,0.03,54.87433318400002,24.462519826000005,0.9965,0.02160633199997619,0.98
a886aad73d519d9b644fc494d7b65a36694a26dd68d7459e3c6266677f78398d,2d8f61022071eff2692059111908d5e87828dc8587d746392fe49730808af75939e5b4830d4d9c14db7368a95b65d5463ea3d09520373723430c03a5a453b5df,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,d23348e919d89f865c3ead00dc1d97662777f6664ca557d4cffecd76636e34ce,10000,,a886aad73d519d9b644fc494d7b65a36694a26dd68d7459e3c6266677f78398d,Control,Default Classifier,205.75264171999999,100,FGM,10,1024,0.03,2.2271912819999784,1.25148988899997,0.9965,0.016765293999981168,0.98
f2c9da5f91adea6709b68d14af0449d7f3f83463a210401ed8e7deedc9e92d56,2d8f61022071eff2692059111908d5e87828dc8587d746392fe49730808af75939e5b4830d4d9c14db7368a95b65d5463ea3d09520373723430c03a5a453b5df,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,9e91486d17e2a978e4aee290de21e66ea3ca7cde311e386fe4ad5665dba4540d,10000,,f2c9da5f91adea6709b68d14af0449d7f3f83463a210401ed8e7deedc9e92d56,Control,Default Classifier,205.75264171999999,100,Carlini,10,1024,0.03,1591.763977773,1.2531618909999906,0.9965,0.015236260000165203,0.99
20d9a313c72dd2d6b1cb56ce8a4ae44f93676184e4e92b51e872ff3a3e44a7e3,2d8f61022071eff2692059111908d5e87828dc8587d746392fe49730808af75939e5b4830d4d9c14db7368a95b65d5463ea3d09520373723430c03a5a453b5df,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,6d0e4950356a6c88a51a7e7ae6942c8e255051c9337709140b2a0bf2a1dd12ee,10000,,20d9a313c72dd2d6b1cb56ce8a4ae44f93676184e4e92b51e872ff3a3e44a7e3,Control,Default Classifier,205.75264171999999,100,PixelAttack,10,1024,0.03,12.16893516999994,1.2499320879999232,0.9965,0.014720678000003318,0.99
63d20e5c20b50c67184f5ac51a99008f3b2bcba0f84ad7b90e6f06e664fe5e79,2d8f61022071eff2692059111908d5e87828dc8587d746392fe49730808af75939e5b4830d4d9c14db7368a95b65d5463ea3d09520373723430c03a5a453b5df,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,c8b54b6f40524cd817fdb82255926fd68da54b961c5378cde675e2311a2b2a4b,10000,,63d20e5c20b50c67184f5ac51a99008f3b2bcba0f84ad7b90e6f06e664fe5e79,Control,Default Classifier,205.75264171999999,100,HopSkipJump,10,1024,0.03,418.40617083999996,1.2504944460001752,0.9965,0.0147954609997214,0.02
3b2e7b27bf5a03c87124fb5c8d7bb83ffe302e1fc9466073d0c4e53a4f9a3ec0,2d8f61022071eff2692059111908d5e87828dc8587d746392fe49730808af75939e5b4830d4d9c14db7368a95b65d5463ea3d09520373723430c03a5a453b5df,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,e3cc2d5461ecca7cd52f2de72e000dc59ffba2140ef7dcc1fe786b084216fb06,10000,,3b2e7b27bf5a03c87124fb5c8d7bb83ffe302e1fc9466073d0c4e53a4f9a3ec0,Control,Default Classifier,205.75264171999999,100,AdversarialPatch,10,1024,0.03,73.45957684199993,1.2568357679997462,0.9965,0.0064566239998384845,0.0
039e4c968c2681a8ffbfeed7fef5217bd2a669a3c8bf1a18ebba771c3aaac3c1,2d8f61022071eff2692059111908d5e87828dc8587d746392fe49730808af75939e5b4830d4d9c14db7368a95b65d5463ea3d09520373723430c03a5a453b5df,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,9e6d12933037b2c398e084883c65e708b8f067077bb0a583c2f752c2a2842f4b,10000,,039e4c968c2681a8ffbfeed7fef5217bd2a669a3c8bf1a18ebba771c3aaac3c1,Control,Default Classifier,205.75264171999999,100,Threshold Attack,10,1024,0.03,64.38938837600017,1.24575604499978,0.9965,0.014763748999939708,1.0
1d30242ec7c16e617cdb9f504a73702c8ba9bd2e4227704ae902da86e0497171,5ddc86ab475fd28be9d1a8cb4bc07718000721eb67a8a0619fb8e8ad6226f54f39e5b4830d4d9c14db7368a95b65d5463ea3d09520373723430c03a5a453b5df,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,ba66d6357b5f69e110dd369d4e3c12f8268ff6495c1f8576342bcc289465d048,10000,76b45d634992d37e49e5632c4b465099d4aea6674e184cabbc816600a8e1c604,1d30242ec7c16e617cdb9f504a73702c8ba9bd2e4227704ae902da86e0497171,Feature Squeezing,Default Classifier,146.80821179700024,100,PGD,10,1024,0.03,6.5193405119998715,1.2980871009999646,0.9944,0.015453876999799832,1.0
445aae7d8a3bff4144d7f7b3ac323423d426c9d6e180bfe8ad668e43809393f6,5ddc86ab475fd28be9d1a8cb4bc07718000721eb67a8a0619fb8e8ad6226f54f39e5b4830d4d9c14db7368a95b65d5463ea3d09520373723430c03a5a453b5df,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,d23348e919d89f865c3ead00dc1d97662777f6664ca557d4cffecd76636e34ce,10000,76b45d634992d37e49e5632c4b465099d4aea6674e184cabbc816600a8e1c604,445aae7d8a3bff4144d7f7b3ac323423d426c9d6e180bfe8ad668e43809393f6,Feature Squeezing,Default Classifier,146.80821179700024,100,FGM,10,1024,0.03,2.520204758000091,1.2809052010002233,0.9944,0.015212745000098948,1.0
4fd090164b8fb70b041139f20da174dd8cc87cb42e453771176204a097c50d40,5ddc86ab475fd28be9d1a8cb4bc07718000721eb67a8a0619fb8e8ad6226f54f39e5b4830d4d9c14db7368a95b65d5463ea3d09520373723430c03a5a453b5df,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,9e91486d17e2a978e4aee290de21e66ea3ca7cde311e386fe4ad5665dba4540d,10000,76b45d634992d37e49e5632c4b465099d4aea6674e184cabbc816600a8e1c604,4fd090164b8fb70b041139f20da174dd8cc87cb42e453771176204a097c50d40,Feature Squeezing,Default Classifier,146.80821179700024,100,Carlini,10,1024,0.03,1300.805303172,1.2836374319999777,0.9944,0.015521514999818464,1.0
